index,date,humidity,,,,,,,,,,,,,,
118,29/4/2014,85.6,,,,,,,,,,,,,,
119,30/4/2014,84.5,,,,,,,,,,,,,,
120,1/5/2014,77.9,,,,,,,,,,,,,,
121,2/5/2014,84.1,,,,,,,,,,,,,,
122,3/5/2014,79.7,,,,,,,,,,,,,,
123,4/5/2014,77.6,,,,,,,,,,,,,,
124,5/5/2014,80.1,,,,,,,,,,,,,,
125,6/5/2014,70.9,,,,,,,,,,,,,,
126,7/5/2014,73.2,,,,,,,,,,,,,,
127,8/5/2014,73.2,,,,,,,,,,,,,,
128,9/5/2014,84.2,,,,,,,,,,,,,,
129,10/5/2014,85,,,,,,,,,,,,,,
130,11/5/2014,86.1,,,,,,,,,,,,,,
131,12/5/2014,88.1,,,,,,,,,,,,,,
132,13/5/2014,87.6,,,,,,,,,,,,,,
133,14/5/2014,85.2,,,,,,,,,,,,,,
134,15/5/2014,87.6,,,,,,,,,,,,,,
135,16/5/2014,76,,,,,,,,,,,,,,
136,17/5/2014,72.9,,,,,,,,,,,,,,
137,18/5/2014,71.4,,,,,,,,,,,,,,
138,19/5/2014,72.4,,,,,,,,,,,,,,
139,20/5/2014,83.1,,,,,,,,,,,,,,
140,21/5/2014,84.5,,,,,,,,,,,,,,
141,22/5/2014,85.3,,,,,,,,,,,,,,
142,23/5/2014,86.7,,,,,,,,,,,,,,
143,24/5/2014,90.3,,,,,,,,,,,,,,
144,25/5/2014,87.1,,,,,,,,,,,,,,
145,26/5/2014,82.5,,,,,,,,,,,,,,
146,27/5/2014,85.7,,,,,,,,,,,,,,
147,28/5/2014,83.1,,,,,,,,,,,,,,
148,29/5/2014,73.4,,,,,,,,,,,,,,
149,30/5/2014,76.1,,,,,,,,,,,,,,
150,31/5/2014,71.9,,,,,,,,,,,,,,
151,1/6/2014,68.4,,,,,,,,,,,,,,
152,2/6/2014,75.4,,,,,,,,,,,,,,
153,3/6/2014,77.9,,,,,,,,,,,,,,
154,4/6/2014,77.6,,,,,,,,,,,,,,
155,5/6/2014,73.2,,,,,,,,,,,,,,
156,6/6/2014,66.3,,,,,,,,,,,,,,
157,7/6/2014,66.8,,,,,,,,,,,,,,
158,8/6/2014,67.4,,,,,,,,,,,,,,
159,9/6/2014,69.9,,,,,,,,,,,,,,
160,10/6/2014,73.9,,,,,,,,,,,,,,
161,11/6/2014,71.7,,,,,,,,,,,,,,
162,12/6/2014,65.8,,,,,,,,,,,,,,
163,13/6/2014,78.2,,,,,,,,,,,,,,
164,14/6/2014,75.2,,,,,,,,,,,,,,
165,15/6/2014,73.8,,,,,,,,,,,,,,
166,16/6/2014,69.5,,,,,,,,,,,,,,
167,17/6/2014,74.7,,,,,,,,,,,,,,
168,18/6/2014,79.2,,,,,,,,,,,,,,
169,19/6/2014,79.4,,,,,,,,,,,,,,
170,20/6/2014,90.2,,,,,,,,,,,,,,
171,21/6/2014,80.8,,,,,,,,,,,,,,
172,22/6/2014,74.3,,,,,,,,,,,,,,
173,23/6/2014,77.7,,,,,,,,,,,,,,
174,24/6/2014,76.3,,,,,,,,,,,,,,
175,25/6/2014,71,,,,,,,,,,,,,,
176,26/6/2014,81.9,,,,,,,,,,,,,,
177,27/6/2014,69.8,,,,,,,,,,,,,,
178,28/6/2014,77.4,,,,,,,,,,,,,,
179,29/6/2014,80.4,,,,,,,,,,,,,,
180,30/6/2014,71.9,,,,,,,,,,,,,,
181,1/7/2014,89.3,,,,,,,,,,,,,,
182,2/7/2014,90.5,,,,,,,,,,,,,,
183,3/7/2014,87.3,,,,,,,,,,,,,,
184,4/7/2014,86.6,,,,,,,,,,,,,,
185,5/7/2014,85.2,,,,,,,,,,,,,,
186,6/7/2014,87.5,,,,,,,,,,,,,,
187,7/7/2014,81.7,,,,,,,,,,,,,,
188,8/7/2014,76.7,,,,,,,,,,,,,,
189,9/7/2014,76.9,,,,,,,,,,,,,,
190,10/7/2014,84.5,,,,,,,,,,,,,,
191,11/7/2014,88.8,,,,,,,,,,,,,,
192,12/7/2014,86.1,,,,,,,,,,,,,,
193,13/7/2014,75.9,,,,,,,,,,,,,,
194,14/7/2014,77.5,,,,,,,,,,,,,,
195,15/7/2014,75.5,,,,,,,,,,,,,,
196,16/7/2014,72.5,,,,,,,,,,,,,,
197,17/7/2014,60.3,,,,,,,,,,,,,,
198,18/7/2014,66.6,,,,,,,,,,,,,,
199,19/7/2014,84.6,,,,,,,,,,,,,,
200,20/7/2014,83.9,,,,,,,,,,,,,,
201,21/7/2014,81.7,,,,,,,,,,,,,,
202,22/7/2014,80.6,,,,,,,,,,,,,,
203,23/7/2014,89.3,,,,,,,,,,,,,,
204,24/7/2014,88.5,,,,,,,,,,,,,,
205,25/7/2014,83.1,,,,,,,,,,,,,,
206,26/7/2014,76.1,,,,,,,,,,,,,,
207,27/7/2014,69,,,,,,,,,,,,,,
208,28/7/2014,73.2,,,,,,,,,,,,,,
209,29/7/2014,65.9,,,,,,,,,,,,,,
210,30/7/2014,71.4,,,,,,,,,,,,,,
211,31/7/2014,78.1,,,,,,,,,,,,,,
212,1/8/2014,62.4,,,,,,,,,,,,,,
